objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
sitw001,,7nqoMYw7p5Y,Taylor Wilderness Research Station landing,Jenn Ladino,2013,youtube video of Jenn's flight in,Taylor; Frank Church; flight; landing; airstrip; wilderness,Frank Church-River of No Return Wilderness,46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,youtube video,,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
sitw002,Group_photo,,Group photo: Jenn w/ Stargazers,Jenn Ladino,2019,pic of Jenn and SITW Stargazers,Taylor; students; Frank Church; plane; airstrip,Frank Church-River of No Return Wilderness,,,,,Image;StillImage,image/jpeg,,,
sitw003,,fIsxRA77CL8,Leah's testimonial video,Leah Dreesmann,2019,final video for class (Leah),Taylor; SITW; testimonial,Frank Church-River of No Return Wilderness,,,,,,,,,
sitw004,,zNFb6iKtkYw,Amber's testimonial video,Amber LeBlanc,2019,final video for class (Amber),Taylor; SITW; testimonial,Frank Church-River of No Return Wilderness,,,,,,,,,
sitw005,,gPEiTtZUlTs,Connor's testimonial video ,Connor Augspurger,2019,final video for class (Connor),Taylor; SITW; testimonial,Frank Church-River of No Return Wilderness,,,,,,,,,
sitw006,ed_galindo_pic,,Ed Galindo (Yaqui),,,pic of Ed and beaver,Taylor; SITW; Shoshone-Bannock,,,,,,,,,,
sitw007,airstrip,,,,,,,,,,,,,,,,
sitw008,carmela_chris_crosscut,,,,,,,,,,,,,,,,
sitw009,dalton_fishing,,,,,,,,,,,,,,,,
sitw010,devlieg,,,,,,,,,,,,,,,,
sitw011,fall_colors,,,,,,,,,,,,,,,,
sitw012,fall_snow,,,,,,,,,,,,,,,,
sitw013,flying_out,,,,,,,,,,,,,,,,
sitw014,leah_dalton_jenn,,,,,,,,,,,,,,,,
sitw015,leah_risa_hike,,,,,,,,,,,,,,,,
sitw016,plane,,,,,,,,,,,,,,,,